antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedents_length,consequents_length
frozenset({1955}),frozenset({1958}),0.012942638227376268,0.010871816110996066,0.007247877407330711,0.56,51.50933333333334,0.007107167424531528,2.2480185997477364,1,1
frozenset({1958}),frozenset({1955}),0.010871816110996066,0.012942638227376268,0.007247877407330711,0.6666666666666666,51.50933333333333,0.007107167424531528,2.961172085317871,1,1
frozenset({1958}),frozenset({1959}),0.010871816110996066,0.012321391592462207,0.006005384137502588,0.5523809523809523,44.83105242096838,0.005871428233877766,2.2065160400593924,1,1
frozenset({1959}),frozenset({1958}),0.012321391592462207,0.010871816110996066,0.006005384137502588,0.48739495798319327,44.83105242096838,0.005871428233877766,1.9296107193900243,1,1
frozenset({1957}),frozenset({1958}),0.013356802650652309,0.010871816110996066,0.005487678608407538,0.4108527131782946,37.790623846437796,0.005342465906158781,1.6789149437063358,1,1
frozenset({1958}),frozenset({1957}),0.010871816110996066,0.013356802650652309,0.005487678608407538,0.5047619047619047,37.790623846437796,0.005342465906158781,1.992260302340029,1,1
frozenset({3729}),frozenset({3948}),0.009732863946986954,0.029405674052598883,0.006212466349140609,0.6382978723404256,21.706622715013484,0.005926264924317219,2.683407842325168,1,1
frozenset({3948}),frozenset({3729}),0.029405674052598883,0.009732863946986954,0.006212466349140609,0.21126760563380279,21.70662271501348,0.005926264924317219,1.2555172617814987,1,1
frozenset({1049}),frozenset({1063}),0.01915510457651688,0.013046179333195278,0.007351418513149721,0.38378378378378375,29.417331617331616,0.007101517583698372,1.6016355861698146,1,1
frozenset({1063}),frozenset({1049}),0.013046179333195278,0.01915510457651688,0.007351418513149721,0.5634920634920635,29.417331617331616,0.007101517583698372,2.247026487697434,1,1
frozenset({3932}),frozenset({3933}),0.020190515634706977,0.027231310830399667,0.01356388486229033,0.6717948717948719,24.6699424783075,0.013014070655215579,2.9639045998136266,1,1
frozenset({3933}),frozenset({3932}),0.027231310830399667,0.020190515634706977,0.01356388486229033,0.4980988593155894,24.6699424783075,0.013014070655215579,1.9521961696066068,1,1
frozenset({3958}),frozenset({3959}),0.022675502174363222,0.0775522882584386,0.008800993994615862,0.3881278538812785,5.0047247166694095,0.007042456913584794,1.5075824542641934,1,1
frozenset({3959}),frozenset({3958}),0.0775522882584386,0.022675502174363222,0.008800993994615862,0.11348464619492656,5.0047247166694095,0.007042456913584794,1.1024338085412682,1,1
frozenset({6261}),frozenset({6262}),0.012010768275005176,0.02132946779871609,0.005798301925864568,0.48275862068965514,22.633411449614997,0.005542118630705004,1.8920963622558153,1,1
frozenset({6262}),frozenset({6261}),0.02132946779871609,0.012010768275005176,0.005798301925864568,0.27184466019417475,22.633411449615,0.005542118630705004,1.3568385449023264,1,1
frozenset({3744}),frozenset({3743}),0.035928763719196524,0.026610064195485606,0.013046179333195278,0.3631123919308357,13.645678915439733,0.012090112624163025,1.5283543335935135,1,1
frozenset({3743}),frozenset({3744}),0.026610064195485606,0.035928763719196524,0.013046179333195278,0.49027237354085607,13.645678915439733,0.012090112624163025,1.8913458604898208,1,1
frozenset({3694}),frozenset({4046}),0.06388486229032926,0.03023400289915096,0.009525781735348933,0.14910858995137763,4.931817677227415,0.007594286623651259,1.139705943259474,1,1
frozenset({4046}),frozenset({3694}),0.03023400289915096,0.06388486229032926,0.009525781735348933,0.3150684931506849,4.931817677227414,0.007594286623651259,1.366728101056119,1,1
frozenset({3957}),frozenset({3959}),0.018016152412507765,0.0775522882584386,0.00704079519569269,0.39080459770114945,5.039240059542992,0.005643601350489924,1.5142066211606762,1,1
frozenset({3959}),frozenset({3957}),0.0775522882584386,0.018016152412507765,0.00704079519569269,0.09078771695594126,5.039240059542993,0.005643601350489924,1.080038035011794,1,1
frozenset({3957}),frozenset({3958}),0.018016152412507765,0.022675502174363222,0.005280596396769518,0.2931034482758621,12.925995906156512,0.004872071093566039,1.382556606680169,1,1
frozenset({3958}),frozenset({3957}),0.022675502174363222,0.018016152412507765,0.005280596396769518,0.23287671232876714,12.925995906156512,0.004872071093566039,1.2800860870336954,1,1
frozenset({3728}),frozenset({3948}),0.012839097121557258,0.029405674052598883,0.008179747359701802,0.6370967741935485,21.66577691958201,0.007802205054615629,2.6745265870550616,1,1
frozenset({3948}),frozenset({3728}),0.029405674052598883,0.012839097121557258,0.008179747359701802,0.27816901408450706,21.66577691958201,0.007802205054615629,1.3675790069145255,1,1
frozenset({3956}),frozenset({3959}),0.01418513149720439,0.0775522882584386,0.007247877407330711,0.5109489051094891,6.588443959342384,0.006147788000475659,1.8861990523670735,1,1
frozenset({3959}),frozenset({3956}),0.0775522882584386,0.01418513149720439,0.007247877407330711,0.09345794392523364,6.588443959342383,0.006147788000475659,1.0874452673175168,1,1
frozenset({1236}),frozenset({3943}),0.040484572375232966,0.010043487264443984,0.006005384137502588,0.1483375959079284,14.769530941018271,0.005598777850445475,1.162381370809617,1,1
frozenset({3943}),frozenset({1236}),0.010043487264443984,0.040484572375232966,0.006005384137502588,0.5979381443298969,14.769530941018273,0.005598777850445475,2.3864870892205743,1,1
frozenset({3944}),frozenset({3943}),0.02692068751294264,0.010043487264443984,0.006108925243321598,0.22692307692307692,22.594052339413164,0.005838547661135283,1.2805407627425103,1,1
frozenset({3943}),frozenset({3944}),0.010043487264443984,0.02692068751294264,0.006108925243321598,0.6082474226804123,22.594052339413164,0.005838547661135283,2.4839129818748567,1,1
frozenset({3915}),frozenset({3916}),0.00673017187823566,0.011389521640091117,0.005901843031683578,0.8769230769230768,76.99384615384614,0.00582518959343488,8.032460136674253,1,1
frozenset({3916}),frozenset({3915}),0.011389521640091117,0.00673017187823566,0.005901843031683578,0.5181818181818181,76.99384615384614,0.00582518959343488,2.0615034168564916,1,1
frozenset({3742}),frozenset({3743}),0.01397804928556637,0.026610064195485606,0.007869124042244772,0.562962962962963,21.156016717106215,0.007497167253428189,2.2272481581967702,1,1
frozenset({3743}),frozenset({3742}),0.026610064195485606,0.01397804928556637,0.007869124042244772,0.2957198443579767,21.156016717106215,0.007497167253428189,1.4000422173127596,1,1
frozenset({3744}),frozenset({3742}),0.035928763719196524,0.01397804928556637,0.00683371298405467,0.19020172910662822,13.60717259045789,0.006331498954018272,1.2176142950103506,1,1
frozenset({3742}),frozenset({3744}),0.01397804928556637,0.035928763719196524,0.00683371298405467,0.4888888888888889,13.60717259045789,0.006331498954018272,1.886226331853746,1,1
frozenset({3744}),"frozenset({3742, 3743})",0.035928763719196524,0.007869124042244772,0.005280596396769518,0.14697406340057637,18.677309267404823,0.004997868498378657,1.1630723444504765,1,2
frozenset({3742}),"frozenset({3744, 3743})",0.01397804928556637,0.013046179333195278,0.005280596396769518,0.37777777777777777,28.956966490299823,0.005098236259061776,1.5861757832145076,1,2
frozenset({3743}),"frozenset({3744, 3742})",0.026610064195485606,0.00683371298405467,0.005280596396769518,0.19844357976653698,29.03891050583658,0.0050987508555702995,1.2390472609859122,1,2
